Nov. 10, 2015   10:06:34
Linear Sweep Voltammetry
File: e:\10-11\ph17 mcf10a\acid\aa3.txt
Data Source:  Experiment
Instrument Model:  CHI1030C
Ref. Electrode: 
Header: 
Note: 

Init E (V) = -1
Final E (V) = 1
Scan Rate (V/s) = 0.1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7


Potential/V, Current/A

-1.000, -1.378e-9
-0.999, -1.506e-9
-0.998, -1.173e-9
-0.997, -9.876e-10
-0.996, -1.291e-9
-0.995, -1.983e-9
-0.994, -1.392e-9
-0.993, -9.644e-10
-0.992, -9.066e-10
-0.991, -9.573e-10
-0.990, -7.756e-10
-0.989, -8.686e-10
-0.988, -7.386e-10
-0.987, -7.268e-10
-0.986, -7.982e-10
-0.985, -6.482e-10
-0.984, -7.952e-10
-0.983, -6.971e-10
-0.982, -7.062e-10
-0.981, -8.209e-10
-0.980, -8.684e-10
-0.979, -8.875e-10
-0.978, -7.477e-10
-0.977, -8.770e-10
-0.976, -9.210e-10
-0.975, -6.957e-10
-0.974, -8.693e-10
-0.973, -7.346e-10
-0.972, -6.551e-10
-0.971, -7.200e-10
-0.970, -6.127e-10
-0.969, -9.398e-10
-0.968, -7.614e-10
-0.967, -6.335e-10
-0.966, -7.216e-10
-0.965, -7.202e-10
-0.964, -9.313e-10
-0.963, -6.614e-10
-0.962, -6.243e-10
-0.961, -6.808e-10
-0.960, -5.703e-10
-0.959, -8.093e-10
-0.958, -6.462e-10
-0.957, -6.249e-10
-0.956, -7.397e-10
-0.955, -6.478e-10
-0.954, -7.628e-10
-0.953, -7.594e-10
-0.952, -6.943e-10
-0.951, -6.790e-10
-0.950, -5.010e-10
-0.949, -6.497e-10
-0.948, -6.633e-10
-0.947, -6.769e-10
-0.946, -6.811e-10
-0.945, -5.318e-10
-0.944, -7.579e-10
-0.943, -7.921e-10
-0.942, -7.505e-10
-0.941, -6.761e-10
-0.940, -4.954e-10
-0.939, -6.572e-10
-0.938, -7.012e-10
-0.937, -8.201e-10
-0.936, -7.497e-10
-0.935, -5.102e-10
-0.934, -6.555e-10
-0.933, -5.670e-10
-0.932, -5.710e-10
-0.931, -6.754e-10
-0.930, -6.678e-10
-0.929, -7.481e-10
-0.928, -6.071e-10
-0.927, -6.142e-10
-0.926, -8.071e-10
-0.925, -6.729e-10
-0.924, -6.777e-10
-0.923, -5.321e-10
-0.922, -5.229e-10
-0.921, -6.548e-10
-0.920, -5.102e-10
-0.919, -6.375e-10
-0.918, -5.934e-10
-0.917, -6.767e-10
-0.916, -6.618e-10
-0.915, -4.355e-10
-0.914, -5.757e-10
-0.913, -5.038e-10
-0.912, -5.775e-10
-0.911, -7.372e-10
-0.910, -5.046e-10
-0.909, -6.042e-10
-0.908, -4.860e-10
-0.907, -5.223e-10
-0.906, -6.960e-10
-0.905, -5.061e-10
-0.904, -5.958e-10
-0.903, -4.799e-10
-0.902, -5.373e-10
-0.901, -6.827e-10
-0.900, -4.547e-10
-0.899, -5.632e-10
-0.898, -4.713e-10
-0.897, -4.946e-10
-0.896, -6.190e-10
-0.895, -5.628e-10
-0.894, -6.174e-10
-0.893, -4.812e-10
-0.892, -4.929e-10
-0.891, -6.462e-10
-0.890, -4.859e-10
-0.889, -6.532e-10
-0.888, -6.113e-10
-0.887, -5.206e-10
-0.886, -6.154e-10
-0.885, -5.393e-10
-0.884, -7.080e-10
-0.883, -5.113e-10
-0.882, -4.628e-10
-0.881, -5.282e-10
-0.880, -3.885e-10
-0.879, -5.787e-10
-0.878, -5.158e-10
-0.877, -5.158e-10
-0.876, -6.144e-10
-0.875, -5.407e-10
-0.874, -6.229e-10
-0.873, -5.146e-10
-0.872, -6.236e-10
-0.871, -6.859e-10
-0.870, -4.257e-10
-0.869, -5.316e-10
-0.868, -4.680e-10
-0.867, -5.635e-10
-0.866, -7.004e-10
-0.865, -5.171e-10
-0.864, -5.687e-10
-0.863, -4.450e-10
-0.862, -4.845e-10
-0.861, -5.941e-10
-0.860, -4.576e-10
-0.859, -6.335e-10
-0.858, -5.739e-10
-0.857, -4.969e-10
-0.856, -5.963e-10
-0.855, -4.695e-10
-0.854, -5.443e-10
-0.853, -4.367e-10
-0.852, -4.635e-10
-0.851, -6.171e-10
-0.850, -5.501e-10
-0.849, -6.036e-10
-0.848, -4.689e-10
-0.847, -5.198e-10
-0.846, -5.991e-10
-0.845, -3.984e-10
-0.844, -5.615e-10
-0.843, -4.872e-10
-0.842, -4.676e-10
-0.841, -5.641e-10
-0.840, -4.965e-10
-0.839, -5.867e-10
-0.838, -4.503e-10
-0.837, -4.981e-10
-0.836, -6.370e-10
-0.835, -4.903e-10
-0.834, -5.585e-10
-0.833, -4.535e-10
-0.832, -5.065e-10
-0.831, -5.581e-10
-0.830, -4.000e-10
-0.829, -5.677e-10
-0.828, -4.869e-10
-0.827, -4.605e-10
-0.826, -5.183e-10
-0.825, -4.022e-10
-0.824, -5.822e-10
-0.823, -5.073e-10
-0.822, -5.581e-10
-0.821, -6.094e-10
-0.820, -3.931e-10
-0.819, -5.748e-10
-0.818, -5.541e-10
-0.817, -5.083e-10
-0.816, -5.468e-10
-0.815, -3.943e-10
-0.814, -5.531e-10
-0.813, -4.683e-10
-0.812, -4.888e-10
-0.811, -5.759e-10
-0.810, -4.395e-10
-0.809, -5.588e-10
-0.808, -4.467e-10
-0.807, -4.620e-10
-0.806, -5.240e-10
-0.805, -3.946e-10
-0.804, -5.252e-10
-0.803, -4.409e-10
-0.802, -4.595e-10
-0.801, -5.397e-10
-0.800, -4.033e-10
-0.799, -5.688e-10
-0.798, -4.665e-10
-0.797, -4.949e-10
-0.796, -5.868e-10
-0.795, -4.700e-10
-0.794, -6.193e-10
-0.793, -4.909e-10
-0.792, -4.785e-10
-0.791, -5.508e-10
-0.790, -3.966e-10
-0.789, -5.335e-10
-0.788, -4.396e-10
-0.787, -4.764e-10
-0.786, -5.429e-10
-0.785, -4.121e-10
-0.784, -5.730e-10
-0.783, -4.844e-10
-0.782, -5.085e-10
-0.781, -5.534e-10
-0.780, -3.925e-10
-0.779, -5.231e-10
-0.778, -4.175e-10
-0.777, -4.268e-10
-0.776, -4.886e-10
-0.775, -3.454e-10
-0.774, -4.933e-10
-0.773, -4.005e-10
-0.772, -4.363e-10
-0.771, -5.112e-10
-0.770, -3.811e-10
-0.769, -5.394e-10
-0.768, -4.422e-10
-0.767, -4.625e-10
-0.766, -5.336e-10
-0.765, -3.894e-10
-0.764, -5.474e-10
