Nov. 10, 2015   10:07:12
Linear Sweep Voltammetry
File: e:\10-11\ph17 mcf10a\acid\aa4.txt
Data Source:  Experiment
Instrument Model:  CHI1030C
Ref. Electrode: 
Header: 
Note: 

Init E (V) = -1
Final E (V) = 1
Scan Rate (V/s) = 0.1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7

Potential/V, Current/A

-1.000, -6.291e-9
-0.999, -6.149e-9
-0.998, -6.200e-9
-0.997, -7.666e-9
-0.996, -8.085e-9
-0.995, -6.896e-9
-0.994, -5.858e-9
-0.993, -5.309e-9
-0.992, -5.256e-9
-0.991, -5.174e-9
-0.990, -5.593e-9
-0.989, -5.734e-9
-0.988, -5.971e-9
-0.987, -6.288e-9
-0.986, -6.632e-9
-0.985, -7.237e-9
-0.984, -7.956e-9
-0.983, -7.565e-9
-0.982, -6.883e-9
-0.981, -5.779e-9
-0.980, -4.870e-9
-0.979, -4.063e-9
-0.978, -3.494e-9
-0.977, -3.197e-9
-0.976, -2.743e-9
-0.975, -2.592e-9
-0.974, -2.231e-9
-0.973, -1.827e-9
-0.972, -1.997e-9
-0.971, -2.500e-9
-0.970, -3.460e-9
-0.969, -1.896e-9
-0.968, -1.302e-9
-0.967, -1.394e-9
-0.966, -1.529e-9
-0.965, -2.128e-9
-0.964, -1.199e-9
-0.963, -1.043e-9
-0.962, -1.104e-9
-0.961, -9.763e-10
-0.960, -1.114e-9
-0.959, -1.141e-9
-0.958, -1.071e-9
-0.957, -1.122e-9
-0.956, -1.046e-9
-0.955, -1.281e-9
-0.954, -1.304e-9
-0.953, -1.594e-9
-0.952, -2.779e-9
-0.951, -1.903e-9
-0.950, -1.272e-9
-0.949, -1.072e-9
-0.948, -1.003e-9
-0.947, -1.072e-9
-0.946, -9.523e-10
-0.945, -1.166e-9
-0.944, -1.136e-9
-0.943, -1.080e-9
-0.942, -1.307e-9
-0.941, -1.203e-9
-0.940, -1.356e-9
-0.939, -1.340e-9
-0.938, -1.340e-9
-0.937, -1.527e-9
-0.936, -1.460e-9
-0.935, -1.884e-9
-0.934, -2.451e-9
-0.933, -1.736e-9
-0.932, -1.503e-9
-0.931, -1.309e-9
-0.930, -1.238e-9
-0.929, -1.128e-9
-0.928, -1.047e-9
-0.927, -1.135e-9
-0.926, -1.081e-9
-0.925, -1.589e-9
-0.924, -1.573e-9
-0.923, -1.315e-9
-0.922, -1.474e-9
-0.921, -1.328e-9
-0.920, -1.491e-9
-0.919, -1.564e-9
-0.918, -1.436e-9
-0.917, -1.425e-9
-0.916, -1.231e-9
-0.915, -1.303e-9
-0.914, -1.249e-9
-0.913, -1.195e-9
-0.912, -1.352e-9
-0.911, -1.269e-9
-0.910, -1.444e-9
-0.909, -1.529e-9
-0.908, -1.950e-9
-0.907, -2.208e-9
-0.906, -1.903e-9
-0.905, -2.285e-9
-0.904, -2.093e-9
-0.903, -1.990e-9
-0.902, -2.702e-9
-0.901, -2.750e-9
-0.900, -2.662e-9
-0.899, -2.202e-9
-0.898, -2.740e-9
-0.897, -2.808e-9
