Jan. 19, 2017   14:05:09
Amperometric i-t Curve
File: c:\users\nanopittet\desktop\transloc\p9aunp.txt
Data Source:  Experiment
Instrument Model:  CHI1030C
Header: 
Note: 

Init E (V) = -6
Sample Interval (s) = 0.002
Run Time (sec) = 300
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-6


Time/sec, Current/A

2.000e-3, -6.412e-9
4.000e-3, -7.026e-9
6.000e-3, -7.640e-9
8.000e-3, -7.946e-9
1.000e-2, -8.253e-9
1.200e-2, -7.640e-9
1.400e-2, -7.026e-9
1.600e-2, -6.412e-9
1.800e-2, -6.412e-9
2.000e-2, -6.412e-9
2.200e-2, -7.026e-9
2.400e-2, -7.640e-9
2.600e-2, -7.946e-9
2.800e-2, -7.640e-9
3.000e-2, -7.026e-9
3.200e-2, -6.105e-9
3.400e-2, -6.412e-9
3.600e-2, -6.105e-9
3.800e-2, -6.719e-9
4.000e-2, -7.640e-9
4.200e-2, -7.640e-9
4.400e-2, -7.640e-9
4.600e-2, -7.026e-9
4.800e-2, -6.105e-9
5.000e-2, -6.105e-9
5.200e-2, -5.799e-9
5.400e-2, -6.412e-9
5.600e-2, -7.026e-9
5.800e-2, -7.333e-9
6.000e-2, -7.640e-9
6.200e-2, -7.026e-9
6.400e-2, -6.412e-9
6.600e-2, -6.105e-9
6.800e-2, -6.105e-9
7.000e-2, -6.105e-9
7.200e-2, -6.719e-9
7.400e-2, -7.333e-9
7.600e-2, -7.333e-9
7.800e-2, -7.333e-9
8.000e-2, -6.412e-9
8.200e-2, -5.799e-9
8.400e-2, -5.799e-9
8.600e-2, -5.799e-9
8.800e-2, -6.412e-9
9.000e-2, -7.333e-9
9.200e-2, -7.333e-9
9.400e-2, -7.333e-9
9.600e-2, -6.412e-9
9.800e-2, -5.799e-9
1.000e-1, -5.799e-9
1.020e-1, -5.492e-9
1.040e-1, -6.105e-9
1.060e-1, -6.719e-9
1.080e-1, -7.026e-9
1.100e-1, -7.333e-9
1.120e-1, -6.719e-9
1.140e-1, -6.105e-9
1.160e-1, -5.799e-9
1.180e-1, -5.799e-9
1.200e-1, -5.799e-9
1.220e-1, -6.412e-9
1.240e-1, -7.026e-9
1.260e-1, -7.026e-9
1.280e-1, -7.026e-9
1.300e-1, -6.105e-9
1.320e-1, -5.492e-9
1.340e-1, -5.492e-9
1.360e-1, -5.492e-9
1.380e-1, -6.105e-9
1.400e-1, -7.026e-9
1.420e-1, -7.026e-9
1.440e-1, -7.333e-9
1.460e-1, -6.412e-9
1.480e-1, -5.799e-9
1.500e-1, -5.492e-9
1.520e-1, -5.185e-9
1.540e-1, -6.105e-9
1.560e-1, -6.719e-9
1.580e-1, -6.719e-9
1.600e-1, -7.026e-9
1.620e-1, -6.719e-9
1.640e-1, -5.799e-9
1.660e-1, -5.492e-9
1.680e-1, -5.492e-9
1.700e-1, -5.492e-9
1.720e-1, -6.105e-9
1.740e-1, -6.719e-9
1.760e-1, -7.026e-9
1.780e-1, -7.026e-9
1.800e-1, -6.105e-9
1.820e-1, -5.492e-9
1.840e-1, -5.492e-9
1.860e-1, -5.185e-9
1.880e-1, -6.105e-9
1.900e-1, -6.719e-9
1.920e-1, -7.026e-9
1.940e-1, -7.026e-9
1.960e-1, -6.105e-9
1.980e-1, -5.492e-9
2.000e-1, -5.492e-9
2.020e-1, -5.185e-9
2.040e-1, -5.799e-9
2.060e-1, -6.412e-9
2.080e-1, -6.719e-9
2.100e-1, -7.026e-9
2.120e-1, -6.412e-9
2.140e-1, -5.799e-9
2.160e-1, -5.492e-9
2.180e-1, -5.492e-9
2.200e-1, -5.492e-9
2.220e-1, -6.105e-9
2.240e-1, -6.719e-9
2.260e-1, -6.719e-9
2.280e-1, -6.719e-9
2.300e-1, -5.799e-9
2.320e-1, -5.185e-9
2.340e-1, -5.185e-9
2.360e-1, -5.185e-9
2.380e-1, -5.799e-9
2.400e-1, -6.719e-9
2.420e-1, -6.719e-9
2.440e-1, -6.719e-9
2.460e-1, -6.105e-9
2.480e-1, -5.492e-9
2.500e-1, -5.492e-9
2.520e-1, -4.878e-9
2.540e-1, -5.799e-9
2.560e-1, -6.412e-9
2.580e-1, -6.719e-9
2.600e-1, -6.719e-9
2.620e-1, -6.412e-9
2.640e-1, -5.799e-9
2.660e-1, -5.185e-9
2.680e-1, -5.492e-9
2.700e-1, -5.185e-9
2.720e-1, -6.105e-9
2.740e-1, -6.719e-9
2.760e-1, -6.719e-9
2.780e-1, -6.719e-9
2.800e-1, -5.799e-9
2.820e-1, -5.185e-9
2.840e-1, -5.185e-9
2.860e-1, -5.185e-9
2.880e-1, -5.799e-9
2.900e-1, -6.719e-9
2.920e-1, -6.719e-9
2.940e-1, -6.719e-9
2.960e-1, -6.105e-9
2.980e-1, -5.492e-9
3.000e-1, -5.185e-9
3.020e-1, -4.878e-9
3.040e-1, -5.492e-9
3.060e-1, -6.105e-9
3.080e-1, -6.412e-9
3.100e-1, -6.719e-9
3.120e-1, -6.412e-9
3.140e-1, -5.492e-9
3.160e-1, -5.185e-9
3.180e-1, -5.185e-9
3.200e-1, -5.185e-9
3.220e-1, -6.105e-9
3.240e-1, -6.412e-9
3.260e-1, -6.719e-9
3.280e-1, -6.412e-9
3.300e-1, -5.799e-9
3.320e-1, -5.185e-9
3.340e-1, -5.185e-9
3.360e-1, -4.878e-9
3.380e-1, -5.799e-9
3.400e-1, -6.719e-9
3.420e-1, -6.719e-9
3.440e-1, -6.719e-9
3.460e-1, -5.799e-9
3.480e-1, -5.185e-9
3.500e-1, -5.185e-9
3.520e-1, -4.878e-9
3.540e-1, -5.492e-9
3.560e-1, -6.105e-9
3.580e-1, -6.412e-9
3.600e-1, -6.719e-9
3.620e-1, -6.105e-9
3.640e-1, -5.492e-9
3.660e-1, -5.185e-9
3.680e-1, -5.185e-9
3.700e-1, -5.185e-9
3.720e-1, -5.799e-9
3.740e-1, -6.412e-9
3.760e-1, -6.412e-9
3.780e-1, -6.412e-9
3.800e-1, -5.492e-9
3.820e-1, -4.878e-9
3.840e-1, -4.878e-9
3.860e-1, -4.878e-9
3.880e-1, -5.799e-9
3.900e-1, -6.412e-9
3.920e-1, -6.412e-9
3.940e-1, -6.719e-9
3.960e-1, -5.799e-9
3.980e-1, -5.185e-9
4.000e-1, -5.185e-9
4.020e-1, -4.878e-9
4.040e-1, -5.492e-9
4.060e-1, -6.105e-9
4.080e-1, -6.412e-9
4.100e-1, -6.719e-9
4.120e-1, -6.105e-9
4.140e-1, -5.492e-9
4.160e-1, -5.185e-9
4.180e-1, -5.185e-9
4.200e-1, -5.185e-9
4.220e-1, -5.799e-9
4.240e-1, -6.412e-9
4.260e-1, -6.412e-9
4.280e-1, -6.412e-9
4.300e-1, -5.799e-9
4.320e-1, -4.878e-9
4.340e-1, -5.185e-9
4.360e-1, -4.878e-9
4.380e-1, -5.492e-9
4.400e-1, -6.412e-9
4.420e-1, -6.719e-9
4.440e-1, -6.719e-9
4.460e-1, -5.799e-9
4.480e-1, -5.185e-9
4.500e-1, -5.185e-9
4.520e-1, -4.878e-9
4.540e-1, -5.492e-9
4.560e-1, -6.105e-9
4.580e-1, -6.412e-9
4.600e-1, -6.412e-9
